,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,Cable Connection,Assessment Number
13984,No,No,Yes,Yes,No,No,No,1086285892
13985,No,No,Yes,Yes,No,No,No,1086285929
13986,No,No,Yes,Yes,No,No,No,1086285915
13987,No,No,Yes,Yes,No,No,No,1086288150
13988,No,Yes,No,Yes,No,No,No,1086486936
13989,No,Yes,No,Yes,No,No,No,1086488192
13990,No,No,No,Yes,No,No,No,1086496368
13991,No,No,No,No,No,No,No,1086538766
13992,No,No,Yes,Yes,No,No,No,1086286097
13993,No,No,Yes,Yes,No,No,No,1086286187
13994,No,No,Yes,Yes,No,No,No,1086286196
13995,No,No,Yes,Yes,No,No,No,1086286306
13996,No,No,Yes,Yes,No,No,No,1086286263
13997,No,No,Yes,Yes,No,No,No,1086286312
13998,No,No,Yes,Yes,No,No,No,1086286317
13999,No,No,Yes,Yes,No,No,No,1086286378
14000,No,No,Yes,Yes,No,No,No,1086286393
14001,No,No,Yes,Yes,No,No,No,1086286422
14002,No,No,Yes,Yes,No,No,No,1086286425
14003,No,No,Yes,Yes,No,No,No,1086286455
14004,No,No,Yes,Yes,No,No,No,1086286612
14005,No,No,Yes,Yes,No,No,No,1086286615
14006,No,No,Yes,Yes,No,No,No,1086286722
14007,No,No,Yes,Yes,No,No,No,1086286747
14008,No,Yes,Yes,Yes,No,No,No,1086286753
14009,No,Yes,Yes,Yes,Yes,No,No,1086286757
14010,No,No,Yes,Yes,No,No,No,1086286807
14011,No,No,Yes,Yes,No,No,No,1086286764
14012,No,No,Yes,Yes,No,No,No,1086286791
14013,No,No,Yes,Yes,No,No,No,1086286809
14014,No,Yes,Yes,Yes,No,No,No,1086286830
14015,No,No,Yes,Yes,No,No,No,1086287261
14016,No,No,Yes,Yes,No,No,No,1086286947
14017,No,No,Yes,Yes,No,No,No,1086286997
14018,No,No,Yes,Yes,No,No,No,1086286993
14019,No,No,Yes,Yes,No,No,No,1086287019
14020,No,No,Yes,Yes,No,No,No,1086287027
14021,No,No,Yes,Yes,No,No,No,1086287077
14022,No,No,Yes,Yes,No,No,No,1086287065
14023,No,No,Yes,Yes,No,No,No,1086287073
14024,No,No,Yes,Yes,No,No,No,1086287093
14025,No,No,Yes,Yes,No,No,No,1086287131
14026,No,No,Yes,Yes,No,No,No,1086287136
14027,No,No,Yes,Yes,No,No,No,1086287141
14028,No,No,Yes,Yes,No,No,No,1086287265
14029,No,No,Yes,Yes,No,No,No,1086287266
14030,No,No,Yes,Yes,No,No,No,1086287281
14031,No,No,Yes,Yes,No,No,No,1086287290
14032,No,No,Yes,Yes,No,No,No,1086287397
14033,No,No,Yes,Yes,No,No,No,1086287366
14034,No,No,Yes,Yes,No,No,No,1086287386
14035,No,No,Yes,Yes,No,No,No,1086287640
14036,No,Yes,Yes,Yes,Yes,No,No,1086287635
14037,No,No,Yes,Yes,No,No,No,1086287644
14038,No,No,Yes,Yes,No,No,No,1086287857
14039,No,No,Yes,Yes,No,No,No,1086287932
14040,No,No,Yes,Yes,No,No,No,1086288090
14041,No,No,Yes,Yes,No,No,No,1086288115
14042,No,No,Yes,Yes,No,No,No,1086288298
14043,No,No,Yes,Yes,No,No,No,1086288319
14044,No,No,Yes,Yes,No,No,No,1086288397
14045,No,Yes,Yes,Yes,Yes,No,Yes,1086288444
14046,No,No,Yes,Yes,No,No,No,1086288465
14047,No,No,Yes,Yes,No,No,No,1086288773
14048,No,No,Yes,Yes,No,No,No,1086289053
14049,No,No,Yes,Yes,No,No,No,1086289392
14050,No,No,Yes,Yes,No,No,No,1086289523
14051,No,No,Yes,Yes,No,No,No,1086289660
14052,No,No,Yes,Yes,No,No,No,1086289884
