,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,cable connection,Assessment Number
0,No,No,Yes,Yes,No,No,No,1086291777
0,No,No,Yes,Yes,No,No,No,1086291779
0,No,No,Yes,Yes,No,No,No,1086291784
0,No,No,Yes,Yes,No,No,No,1086291791
0,No,No,Yes,Yes,No,No,No,1086291829
0,No,No,Yes,Yes,No,No,No,1086291958
0,No,No,Yes,Yes,No,No,No,1086291896
0,No,No,Yes,Yes,No,No,No,1086291919
0,No,No,Yes,Yes,No,No,No,1086291947
0,No,No,Yes,Yes,No,No,No,1086292030
0,No,No,Yes,Yes,No,No,No,1086292066
0,No,No,Yes,Yes,No,No,No,1086292105
0,No,No,Yes,Yes,No,No,No,1086292106
0,No,No,Yes,Yes,No,No,No,1086292131
0,No,No,Yes,Yes,No,No,No,1086292200
0,No,No,Yes,Yes,No,No,No,1086292242
0,No,No,Yes,Yes,No,No,No,1086292251
0,No,No,Yes,Yes,No,No,No,1086292257
0,No,No,Yes,Yes,No,No,No,1086292276
0,No,No,Yes,Yes,No,No,No,1086292278
0,No,No,Yes,Yes,No,No,No,1086292279
0,No,No,Yes,Yes,No,No,No,1086292313
0,No,No,Yes,Yes,No,No,No,1086292382
0,No,No,Yes,Yes,No,No,No,1086292383
0,No,No,Yes,Yes,No,No,No,1086292398
0,No,No,Yes,Yes,No,No,No,1086292420
0,No,No,Yes,Yes,No,No,No,1086292477
0,No,No,Yes,Yes,No,No,No,1086292606
0,No,No,Yes,Yes,No,No,No,1086292610
0,No,No,Yes,Yes,No,No,No,1086292649
0,No,No,Yes,Yes,No,No,No,1086292748
0,No,No,Yes,Yes,No,No,No,1086292795
0,No,No,Yes,Yes,No,No,No,1086292807
0,No,No,Yes,Yes,No,No,No,1086292837
0,No,No,Yes,Yes,No,No,No,1086292832
0,No,No,Yes,Yes,No,No,No,1086292891
0,No,No,Yes,Yes,No,No,No,1086292923
0,No,No,Yes,Yes,No,No,No,1086292945
0,No,No,Yes,Yes,No,No,No,1086292949
0,No,No,Yes,Yes,No,No,No,1086293042
0,No,No,Yes,Yes,No,No,No,1086293308
0,No,No,Yes,Yes,No,No,No,1086293398
0,No,No,Yes,Yes,No,No,No,1086293444
0,No,No,Yes,Yes,No,No,No,1086293461
0,No,No,Yes,Yes,No,No,No,1086293468
0,No,No,Yes,Yes,No,No,No,1086293801
0,No,No,Yes,Yes,No,No,No,1086293473
0,No,No,Yes,Yes,No,No,No,1086293487
0,No,No,Yes,Yes,No,No,No,1086293529
0,No,No,Yes,Yes,No,No,No,1086293530
0,No,No,Yes,Yes,No,No,No,1086293617
0,No,No,Yes,Yes,No,No,No,1086293531
0,No,No,Yes,Yes,No,No,No,1086293588
0,No,No,Yes,Yes,No,No,No,1086293704
0,No,No,Yes,Yes,No,No,No,1086295028
0,No,No,Yes,Yes,No,No,No,1086294443
0,No,No,Yes,Yes,No,No,No,1086294446
0,No,No,Yes,Yes,No,No,No,1086294447
0,No,No,Yes,Yes,No,No,No,1086294451
0,No,No,Yes,Yes,No,No,No,1086294587
0,No,No,Yes,Yes,No,No,No,1086294660
0,No,No,Yes,Yes,No,No,No,1086294676
0,No,No,Yes,Yes,No,No,No,1086294700
0,No,No,Yes,Yes,No,No,No,1086294732
0,No,No,Yes,Yes,No,No,No,1086294750
0,No,No,Yes,Yes,No,No,No,1086294826
0,No,No,Yes,Yes,No,No,No,1086294801
0,No,No,Yes,Yes,No,No,No,1086294857
0,No,No,Yes,Yes,No,No,No,1086294858
0,No,No,Yes,Yes,No,No,No,1086294878
0,No,No,Yes,Yes,No,No,No,1086294916
0,No,No,Yes,Yes,No,No,No,1086294951
0,No,No,Yes,Yes,No,No,No,1086294981
0,No,Yes,Yes,Yes,Yes,No,No,1086295076
0,No,No,Yes,Yes,No,No,No,1086295159
0,No,No,Yes,Yes,No,No,No,1086295347
0,No,No,Yes,Yes,No,No,No,1086295450
0,No,No,Yes,Yes,No,No,No,1086295497
0,No,No,Yes,Yes,No,No,No,1086346048
0,No,No,No,No,No,No,No,1086460794
0,No,No,No,No,No,No,No,1086460809
0,No,No,No,No,No,No,No,1086460819
0,No,No,No,No,No,No,No,1086460829
0,No,No,No,No,No,No,No,1086460890
0,No,No,No,No,No,No,No,1086460931
0,No,Yes,No,Yes,No,No,No,1086494336
0,No,No,No,Yes,No,No,No,1086501166
0,No,No,No,No,No,No,No,1086513225
0,No,No,No,No,No,No,No,1086509287
0,No,Yes,No,No,No,No,No,1086520975
0,No,Yes,No,Yes,Yes,No,No,1086521389
0,No,No,Yes,Yes,No,No,No,1086297064
0,No,Yes,No,Yes,No,No,Yes,1086538551
